Paper,Conference,Citation Number,Authors,Number of Authors,Title,Publication Year,Publication Venue,Id,Title_sch,Venue_sch,Publication Venue_sch,Publication Year_sch,Authors_sch,Number Authors_sch,Citation Count_sch,Influential Citation Count_sch,Reference Count_sch,Open Access_sch,Field of Study_sch,Field of Study s2_sch,In Paper,In Intro,Not Found,Score title,Score author,Exists,identifier,Title Length,Title Length_sch,Publication Venue_processed,Venue_sch_processed,strategy,Unique,order
Increasing the Scope as You Learn: Adaptive Bayesian Optimization in Nested Subspaces,NeurIPS,13,"Tedrake, R.",1.0,LQR-Trees: Feedback motion planning via sums-of-squares verification,2014.0,The International Journal of Robotics Research,36256596180fe57c345210057bc360a7024bfc9d,LQR-trees: Feedback Motion Planning via Sums-of-Squares Verification,Int. J. Robotics Res.,,2010.0,"Russ Tedrake, I. Manchester, Mark M. Tobenkin, John W. Roberts",4.0,455.0,25.0,42.0,True,"['Mathematics', 'Computer Science']","[{'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Engineering', 'source': 's2-fos-model'}, {'category': 'Mathematics', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,88.0,1.0,Increasing the Scope as You Learn: Adaptive Bayesian Optimization in Nested Subspaces13,68.0,68.0,The International Journal of Robotics Research,Int. J. Robotics Res.,vanilla_1,0,Increasing the Scope as You Learn: Adaptive Bayesian Optimization in Nested Subspaces13vanilla_1
Generalization Bounds with Data-dependent Fractal Dimensions,ICML,5,"Deligiannidis, G., Lyons, T., & Nikeghbali, A.",3.0,A solution to the sign problem in a frustrated quantum system,2019.0,Nature Physics,,,,,,,,,,,,,,0.0,0.0,1.0,,,0.0,Generalization Bounds with Data-dependent Fractal Dimensions5,61.0,,Nature,,vanilla_1,1,Generalization Bounds with Data-dependent Fractal Dimensions5vanilla_1
A Tale of Two Flows: Cooperative Learning of Langevin Flow and Normalizing Flow Toward Energy-Based Model,ICLR,8,"Ledig, C., Theis, L., Huszár, F., Caballero, J., Cunningham, A., Acosta, A., ... & Shi, W.",9.0,Photo-realistic single image super-resolution using a generative adversarial network,2017.0,Proceedings of the IEEE conference on computer vision and pattern recognition,df0c54fe61f0ffb9f0e36a17c2038d9a1964cba3,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,Computer Vision and Pattern Recognition,Computer Vision and Pattern Recognition,2016.0,"C. Ledig, Lucas Theis, Ferenc Huszár, Jose Caballero, Andrew P. Aitken, A. Tejani, J. Totz, Zehan Wang, Wenzhe Shi",9.0,8729.0,1184.0,77.0,True,"['Computer Science', 'Mathematics']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,100.0,1.0,A Tale of Two Flows: Cooperative Learning of Langevin Flow and Normalizing Flow Toward Energy-Based Model8,84.0,84.0,CVPR,CVPR,vanilla_1,0,A Tale of Two Flows: Cooperative Learning of Langevin Flow and Normalizing Flow Toward Energy-Based Model8vanilla_1
Certified Neural Network Watermarks with Randomized Smoothing,ICML,8,"Zhang, J., et al.",et al.,Protecting Intellectual Property of Deep Neural Networks with Watermarking,2018.0,Proceedings of the 2018 ACM Asia Conference on Computer and Communications Security,97e748935bef3db297b90aed736064a51e68668d,Protecting Intellectual Property of Deep Neural Networks with Watermarking,ACM Asia Conference on Computer and Communications Security,ACM Asia Conference on Computer and Communications Security,2018.0,"Jialong Zhang, Zhongshu Gu, Jiyong Jang, Hui Wu, M. Stoecklin, Heqing Huang, Ian Molloy",7.0,398.0,63.0,58.0,False,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Law', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",1.0,1.0,0.0,100.0,62.0,1.0,Certified Neural Network Watermarks with Randomized Smoothing8,74.0,74.0,Proceedings of the 2018 ACM Asia Conference on Computer and Communications Security,ACM Asia Conference on Computer and Communications Security,vanilla_1,1,Certified Neural Network Watermarks with Randomized Smoothing8vanilla_1
Query-based Hard-Image Retrieval for Object Detection at Test Time,AAAI,16,"Weinberger, K. Q., & Saul, L. K.",2.0,Distance metric learning for large margin nearest neighbor classification,2009.0,Journal of Machine Learning Research,78947497cbbffc691aac3f590d972130259af9ce,Distance Metric Learning for Large Margin Nearest Neighbor Classification,Neural Information Processing Systems,Neural Information Processing Systems,2005.0,"Kilian Q. Weinberger, L. Saul",2.0,5527.0,724.0,35.0,False,"['Mathematics', 'Computer Science']","[{'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Mathematics', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,95.0,1.0,Query-based Hard-Image Retrieval for Object Detection at Test Time16,73.0,73.0,JMLR,NeurIPS,vanilla_1,0,Query-based Hard-Image Retrieval for Object Detection at Test Time16vanilla_1
A Tale of Two Flows: Cooperative Learning of Langevin Flow and Normalizing Flow Toward Energy-Based Model,ICLR,20,"Vondrick, C., Pirsiavash, H., & Torralba, A.",3.0,Generating videos with scene dynamics,2016.0,Advances in neural information processing systems,ee091ccf24c4f053c5c3dfbefe4a7975ed3447c1,Generating Videos with Scene Dynamics,Neural Information Processing Systems,Neural Information Processing Systems,2016.0,"Carl Vondrick, H. Pirsiavash, A. Torralba",3.0,1316.0,142.0,60.0,False,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,97.0,1.0,A Tale of Two Flows: Cooperative Learning of Langevin Flow and Normalizing Flow Toward Energy-Based Model20,37.0,37.0,NeurIPS,NeurIPS,vanilla_1,0,A Tale of Two Flows: Cooperative Learning of Langevin Flow and Normalizing Flow Toward Energy-Based Model20vanilla_1
On the Convergence and Sample Complexity Analysis of Deep Q-Networks with $ε$-Greedy Exploration,NeurIPS,65,"Baird, Leemon C.",1.0,Residual algorithms: Reinforcement learning with function approximation,1995.0,Machine Learning Proceedings,f518bffb712a298bff18248c67f6fc0181018ae6,Residual Algorithms: Reinforcement Learning with Function Approximation,International Conference on Machine Learning,International Conference on Machine Learning,1995.0,L. Baird,1.0,1168.0,160.0,14.0,True,"['Mathematics', 'Computer Science']","[{'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,83.0,1.0,On the Convergence and Sample Complexity Analysis of Deep Q-Networks with $ε$-Greedy Exploration65,71.0,71.0,Machine Learning Proceedings,ICML,vanilla_1,0,On the Convergence and Sample Complexity Analysis of Deep Q-Networks with $ε$-Greedy Exploration65vanilla_1
Large Language Model as Attributed Training Data Generator: A Tale of Diversity and Bias,NeurIPS,17,"Jernite, Y., Rush, A. M., & Sontag, D.",3.0,Pretraining by Prompting,2021.0,ArXiv preprint arXiv:2108.13044,,,,,,,,,,,,,,,,,62.0,33.0,0.0,Large Language Model as Attributed Training Data Generator: A Tale of Diversity and Bias17,24.0,,arxiv,,vanilla_1,0,Large Language Model as Attributed Training Data Generator: A Tale of Diversity and Bias17vanilla_1
RenyiCL: Contrastive Representation Learning with Skew Renyi Divergence,NeurIPS,27,"Chiyuan Zhang, Samy Bengio, Moritz Hardt, Michael C. Mozer, Yoram Singer",5.0,Kernel Methods for Deep Learning,2020.0,Advances in Neural Information Processing Systems,,,,,,,,,,,,,,,,,100.0,28.0,0.0,RenyiCL: Contrastive Representation Learning with Skew Renyi Divergence27,32.0,,NeurIPS,,vanilla_1,1,RenyiCL: Contrastive Representation Learning with Skew Renyi Divergence27vanilla_1
ScatterFormer: Locally-Invariant Scattering Transformer for Patient-Independent Multispectral Detection of Epileptiform Discharges,AAAI,10,Z. Dong et al,et al.,Epileptiform Discharges in Patients Predict Refractory Epilepsy,2013.0,Neuropsychiatric Disease and Treatment,,,,,,,,,,,,,,,,,89.0,15.0,0.0,ScatterFormer: Locally-Invariant Scattering Transformer for Patient-Independent Multispectral Detection of Epileptiform Discharges10,63.0,,Neuropsychiatric Disease and Treatment,,vanilla_1,0,ScatterFormer: Locally-Invariant Scattering Transformer for Patient-Independent Multispectral Detection of Epileptiform Discharges10vanilla_1
Repository-Level Prompt Generation for Large Language Models of Code,ICML,6,"White, M., & Vendome, C.",2.0,Evaluation of line-level maintenance setting for code assistance.,2021.0,Proceedings of the 43rd International Conference on Software Engineering (ICSE),,,,,,,,,,,,,,,,,35.0,30.0,0.0,Repository-Level Prompt Generation for Large Language Models of Code6,65.0,,Proceedings of the 43rd International Conference on Software Engineering (ICSE),,vanilla_1,0,Repository-Level Prompt Generation for Large Language Models of Code6vanilla_1
A Tale of Two Flows: Cooperative Learning of Langevin Flow and Normalizing Flow Toward Energy-Based Model,ICLR,21,"Wu, J., Zhang, C., Xue, T., Freeman, B., & Tenenbaum, J.",5.0,Learning a probabilistic latent space of object shapes via 3d generative-adversarial modeling,2016.0,Advances in neural information processing systems,76cee11c6a9f1424f03571378a966c1417ff2935,Learning a Probabilistic Latent Space of Object Shapes via 3D Generative-Adversarial Modeling,Neural Information Processing Systems,Neural Information Processing Systems,2016.0,"Jiajun Wu, Chengkai Zhang, Tianfan Xue, Bill Freeman, J. Tenenbaum",5.0,1683.0,136.0,49.0,False,"['Computer Science', 'Mathematics']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,91.0,1.0,A Tale of Two Flows: Cooperative Learning of Langevin Flow and Normalizing Flow Toward Energy-Based Model21,93.0,93.0,NeurIPS,NeurIPS,vanilla_1,0,A Tale of Two Flows: Cooperative Learning of Langevin Flow and Normalizing Flow Toward Energy-Based Model21vanilla_1
Concentration of Data Encoding in Parameterized Quantum Circuits,NeurIPS,17,"G. Evenbly, G. Vidal",2.0,Quantum criticality with the multi-scale entanglement renormalization ansatz,2013.0,Strongly correlated systems: numerical methods,9ac5d7c3501bdb8e7b96496111298f78139aa6c3,Quantum Criticality with the Multi-scale Entanglement Renormalization Ansatz,,,2011.0,"G. Evenbly, G. Vidal",2.0,100.0,5.0,55.0,True,['Physics'],"[{'category': 'Physics', 'source': 'external'}, {'category': 'Physics', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,100.0,1.0,Concentration of Data Encoding in Parameterized Quantum Circuits17,76.0,76.0,arxiv,,vanilla_1,0,Concentration of Data Encoding in Parameterized Quantum Circuits17vanilla_1
Bivariate Causal Discovery for Categorical Data via Classification with Optimal Label Permutation,NeurIPS,15,"Morgan, S. L., Winship, C.",2.0,Counterfactuals and causal inference,2014.0,Cambridge University Press,ff2d90db5ad92a97f63c1053673f04b3b3139e7f,Counterfactuals and Causal Inference: Methods and Principles for Social Research,,,2007.0,"S. Morgan, Christopher Winship",2.0,1839.0,120.0,249.0,False,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,89.0,1.0,Bivariate Causal Discovery for Categorical Data via Classification with Optimal Label Permutation15,36.0,80.0,Cambridge University Press,,vanilla_1,0,Bivariate Causal Discovery for Categorical Data via Classification with Optimal Label Permutation15vanilla_1
Generalization Bounds with Data-dependent Fractal Dimensions,ICML,1,"Vapnik, V. N.",1.0,Statistical learning theory,1998.0,,8213dbed4db44e113af3ed17d6dad57471a0c048,The Nature of Statistical Learning Theory,Statistics for Engineering and Information Science,,2000.0,V. Vapnik,1.0,41016.0,4158.0,71.0,True,"['Mathematics', 'Political Science', 'Computer Science']","[{'category': 'Mathematics', 'source': 'external'}, {'category': 'Political Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Mathematics', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,100.0,1.0,Generalization Bounds with Data-dependent Fractal Dimensions1,27.0,41.0,,Statistics for Engineering and Information Science,vanilla_1,1,Generalization Bounds with Data-dependent Fractal Dimensions1vanilla_1
Contrast Everything: A Hierarchical Contrastive Framework for Medical Time-Series,NeurIPS,2,C. Brooks,1.0,Introductory econometrics for finance,2014.0,Cambridge university press,ee80280380ed8ca7fcdf0f5dbeb66ebf1b8fa6dd,Introductory Econometrics for Finance,,,2002.0,Chris Brooks,1.0,3426.0,564.0,321.0,True,"['Economics', 'Mathematics', 'Computer Science']","[{'category': 'Economics', 'source': 'external'}, {'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,86.0,1.0,Contrast Everything: A Hierarchical Contrastive Framework for Medical Time-Series2,37.0,37.0,Cambridge university press,,vanilla_1,0,Contrast Everything: A Hierarchical Contrastive Framework for Medical Time-Series2vanilla_1
A Tale of Two Flows: Cooperative Learning of Langevin Flow and Normalizing Flow Toward Energy-Based Model,ICLR,23,"Girdhar, R., Fouhey, D. F., Rodriguez, M., & Gupta, A.",4.0,Learning a predictable and generative vector representation for objects,2016.0,"European Conference on Computer Vision, Springer, Cham",553a566dee3438ddff7d97a91e91d8a7b0caad66,Learning a Predictable and Generative Vector Representation for Objects,European Conference on Computer Vision,European Conference on Computer Vision,2016.0,"Rohit Girdhar, D. Fouhey, Mikel D. Rodriguez, A. Gupta",4.0,644.0,58.0,44.0,True,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,92.0,1.0,A Tale of Two Flows: Cooperative Learning of Langevin Flow and Normalizing Flow Toward Energy-Based Model23,71.0,71.0,"European Conference on Computer Vision, Springer, Cham",European Conference on Computer Vision,vanilla_1,0,A Tale of Two Flows: Cooperative Learning of Langevin Flow and Normalizing Flow Toward Energy-Based Model23vanilla_1
Exact Inference in High-order Structured Prediction,ICML,2,"C. Papadimitriou, K. Steiglitz",2.0,Binary Markov Random Fields and the Max-Cut Problem,,,,,,,,,,,,,,,,,,,32.0,25.0,0.0,Exact Inference in High-order Structured Prediction2,51.0,,,,vanilla_1,1,Exact Inference in High-order Structured Prediction2vanilla_1
An Investigation into Pre-Training Object-Centric Representations for Reinforcement Learning,ICML,35,"Wang, J. X., Kurth-Nelson, Z., Tirumala, D., Soyer, H., Leibo, J. Z., Munos, R., Botvinick, M.",7.0,Learning to reinforcement learn,2016.0,arXiv preprint,282a380fb5ac26d99667224cef8c630f6882704f,Learning to reinforcement learn,Annual Meeting of the Cognitive Science Society,Annual Meeting of the Cognitive Science Society,2016.0,"Jane X. Wang, Z. Kurth-Nelson, Hubert Soyer, Joel Z. Leibo, Dhruva Tirumala, R. Munos, C. Blundell, D. Kumaran, M. Botvinick",9.0,842.0,103.0,52.0,False,"['Mathematics', 'Psychology', 'Computer Science']","[{'category': 'Mathematics', 'source': 'external'}, {'category': 'Psychology', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,97.0,1.0,An Investigation into Pre-Training Object-Centric Representations for Reinforcement Learning35,31.0,31.0,arxiv,Annual Meeting of the Cognitive Science Society,vanilla_1,0,An Investigation into Pre-Training Object-Centric Representations for Reinforcement Learning35vanilla_1
Learning Topology-Specific Experts for Molecular Property Prediction,AAAI,1,"Battaglia, P. W., Hamrick, J. B., Bapst, V., Sanchez-Gonzalez, A., Zambaldi, V., Malinowski, M., ... & Raposo, D.",et al.,"Relational inductive biases, deep learning, and graph networks",2018.0,arXiv preprint arXiv:1806.01261,3a58efcc4558727cc5c131c44923635da4524f33,"Relational inductive biases, deep learning, and graph networks",arXiv.org,arXiv.org,2018.0,"P. Battaglia, Jessica B. Hamrick, V. Bapst, Alvaro Sanchez-Gonzalez, V. Zambaldi, Mateusz Malinowski, A. Tacchetti, David Raposo, Adam Santoro, Ryan Faulkner, Çaglar Gülçehre, H. F. Song, A. J. Ballard, J. Gilmer, George E. Dahl, Ashish Vaswani, Kelsey R. Allen, C. Nash, Victoria Langston, Chris Dyer, N. Heess, Daan Wierstra, Pushmeet Kohli, M. Botvinick, Oriol Vinyals, Yujia Li, Razvan Pascanu",27.0,2456.0,247.0,200.0,False,"['Computer Science', 'Mathematics']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,100.0,1.0,Learning Topology-Specific Experts for Molecular Property Prediction1,62.0,62.0,arxiv,arxiv,vanilla_1,0,Learning Topology-Specific Experts for Molecular Property Prediction1vanilla_1
Corruption-Robust Algorithms with Uncertainty Weighting for Nonlinear Contextual Bandits and Markov Decision Processes,ICML,11,"Jun, K. S., Bhargava, A., Nowak, R., & Willett, R.",4.0,Scalable Generalized Linear Bandits: Online Computation and Hashing,2018.0,Advances in Neural Information Processing Systems,522233bda5d1c89fa8c73813cd494f22b26ac738,Scalable Generalized Linear Bandits: Online Computation and Hashing,Neural Information Processing Systems,Neural Information Processing Systems,2017.0,"Kwang-Sung Jun, Aniruddha Bhargava, R. Nowak, R. Willett",4.0,100.0,13.0,39.0,False,"['Computer Science', 'Mathematics']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Mathematics', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,90.0,1.0,Corruption-Robust Algorithms with Uncertainty Weighting for Nonlinear Contextual Bandits and Markov Decision Processes11,67.0,67.0,NeurIPS,NeurIPS,vanilla_1,0,Corruption-Robust Algorithms with Uncertainty Weighting for Nonlinear Contextual Bandits and Markov Decision Processes11vanilla_1
Self-Correcting Bayesian Optimization through Bayesian Active Learning,NeurIPS,38,"Lizotte, D. J., Wang, T., Bowling, M., & Schuurmans, D.",4.0,Automatic gait optimization with Gaussian process regression,2007.0,Proceedings of the 20th International Conference on Artificial Intelligence,d89e23d3267c75db75e2055951facc2d74f2908b,Automatic Gait Optimization with Gaussian Process Regression,International Joint Conference on Artificial Intelligence,International Joint Conference on Artificial Intelligence,2007.0,"D. Lizotte, Tao Wang, Michael Bowling, Dale Schuurmans",4.0,305.0,15.0,20.0,False,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Engineering', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,92.0,1.0,Self-Correcting Bayesian Optimization through Bayesian Active Learning38,60.0,60.0,Proceedings of the 20th International Conference on Artificial Intelligence,International Joint Conference on Artificial Intelligence,vanilla_1,0,Self-Correcting Bayesian Optimization through Bayesian Active Learning38vanilla_1
Federated Learning with Partial Model Personalization,ICML,34,"H. Brendan McMahan, Eider Moore, Daniel Ramage, Seth Hampson, Blaise Aguera y Arcas",5.0,Communication-Efficient Learning of Deep Networks from Decentralized Data,2017.0,20th International Conference on Artificial Intelligence and Statistics (AISTATS),d1dbf643447405984eeef098b1b320dee0b3b8a7,Communication-Efficient Learning of Deep Networks from Decentralized Data,International Conference on Artificial Intelligence and Statistics,International Conference on Artificial Intelligence and Statistics,2016.0,"H. B. McMahan, Eider Moore, Daniel Ramage, S. Hampson, B. A. Y. Arcas",5.0,9689.0,2596.0,50.0,False,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",1.0,1.0,0.0,100.0,94.0,1.0,Federated Learning with Partial Model Personalization34,73.0,73.0,20th International Conference on Artificial Intelligence and Statistics (AISTATS),International Conference on Artificial Intelligence and Statistics,vanilla_1,1,Federated Learning with Partial Model Personalization34vanilla_1
Efficient Graph Field Integrators Meet Point Clouds,ICML,9,"Spielman, D. A., Teng, S. H.",2.0,"Nearly-linear time algorithms for graph partitioning, graph sparsification, and solving linear systems",2004.0,Proceedings of the thirty-sixth annual ACM symposium on Theory of computing,407b1ad9d0dbcef919a0c4624b65323cafcb5f11,"Nearly-linear time algorithms for graph partitioning, graph sparsification, and solving linear systems",Symposium on the Theory of Computing,Symposium on the Theory of Computing,2003.0,"D. Spielman, S. Teng",2.0,967.0,92.0,33.0,True,"['Computer Science', 'Mathematics']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Mathematics', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,100.0,1.0,Efficient Graph Field Integrators Meet Point Clouds9,102.0,102.0,Proceedings of the thirty-sixth annual ACM symposium on Theory of computing,Symposium on the Theory of Computing,vanilla_1,1,Efficient Graph Field Integrators Meet Point Clouds9vanilla_1
TIGGER: Scalable Generative Modelling for Temporal Interaction Graphs,AAAI,17,"Leskovec, J., Leskovec, J., & Faloutsos, C.",3.0,"Graphs over time: densification laws, shrinking diameters and possible explanations",2005.0,Proceedings of the eleventh ACM SIGKDD international conference on Knowledge discovery in data mining,788b6f36a2b7cab86a5a29000e8b7cde25b85e73,"Graphs over time: densification laws, shrinking diameters and possible explanations",Knowledge Discovery and Data Mining,Knowledge Discovery and Data Mining,2005.0,"J. Leskovec, J. Kleinberg, C. Faloutsos",3.0,2532.0,205.0,31.0,False,"['Mathematics', 'Computer Science']","[{'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Mathematics', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,100.0,1.0,TIGGER: Scalable Generative Modelling for Temporal Interaction Graphs17,83.0,83.0,Proceedings of the eleventh ACM SIGKDD international conference on Knowledge discovery in data mining,Knowledge Discovery and Data Mining,vanilla_1,1,TIGGER: Scalable Generative Modelling for Temporal Interaction Graphs17vanilla_1
Fast Nonlinear Vector Quantile Regression,ICLR,3,"Cuturi, M., & Peyré, G.",2.0,A Smoothed Dual Approach for Variational Wasserstein Problems,2015.0,Siam Journal on Imaging Sciences,1c25d9f677192bfafd3c8722827e452518bf40ed,A Smoothed Dual Approach for Variational Wasserstein Problems,SIAM Journal of Imaging Sciences,SIAM Journal of Imaging Sciences,2015.0,"Marco Cuturi, G. Peyré",2.0,167.0,19.0,52.0,True,"['Computer Science', 'Mathematics']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Mathematics', 'source': 'external'}, {'category': 'Mathematics', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,93.0,1.0,Fast Nonlinear Vector Quantile Regression3,61.0,61.0,Siam Journal on Imaging Sciences,SIAM Journal of Imaging Sciences,vanilla_1,1,Fast Nonlinear Vector Quantile Regression3vanilla_1
Interpretability with full complexity by constraining feature information,ICLR,25,"Achille, A., & Soatto, S.",2.0,Emergence of invariance and disentanglement in deep representations,2018.0,The Journal of Machine Learning Research,4d7574c0c4aca70e5811a8e33906f0106d6b76e6,Emergence of Invariance and Disentanglement in Deep Representations,Information Theory and Applications Workshop,Information Theory and Applications Workshop,2017.0,"A. Achille, Stefano Soatto",2.0,407.0,40.0,46.0,True,"['Computer Science', 'Mathematics']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,94.0,1.0,Interpretability with full complexity by constraining feature information25,67.0,67.0,JMLR,Information Theory and Applications Workshop,vanilla_1,0,Interpretability with full complexity by constraining feature information25vanilla_1
Self-Supervised Contrastive Pre-Training For Time Series via Time-Frequency Consistency,NeurIPS,6,"Hawryszkiewycz, A., & Hamilton, J. D.",2.0,Factorization of predictive densities for large scale macroeconomic forecasting,2020.0,International Journal of Forecasting,,,,,,,,,,,,,,0.0,0.0,1.0,,,0.0,Self-Supervised Contrastive Pre-Training For Time Series via Time-Frequency Consistency6,79.0,,International Journal of Forecasting,,vanilla_1,0,Self-Supervised Contrastive Pre-Training For Time Series via Time-Frequency Consistency6vanilla_1
Concentration of Data Encoding in Parameterized Quantum Circuits,NeurIPS,11,"M. Schuld, et al.",et al.,Circuit-centric quantum classifiers,2020.0,Physical Review A,804f822f9a6db8f559801f1c618b7d6c766741b4,Circuit-centric quantum classifiers,Physical Review A,,2018.0,"M. Schuld, A. Bocharov, K. Svore, N. Wiebe",4.0,502.0,49.0,52.0,True,['Physics'],"[{'category': 'Physics', 'source': 'external'}, {'category': 'Physics', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",1.0,1.0,0.0,100.0,100.0,1.0,Concentration of Data Encoding in Parameterized Quantum Circuits11,35.0,35.0,Physical Review A,Physical Review A,vanilla_1,1,Concentration of Data Encoding in Parameterized Quantum Circuits11vanilla_1
Artificial Neuronal Ensembles with Learned Context Dependent Gating,ICLR,6,"Goodfellow, I. J., Mirza, M., Xiao, D., Courville, A., Bengio, Y.",5.0,An empirical investigation of catastrophic forgeting in gradient-based neural networks,2013.0,arXiv preprint,0407b605b8f55db72e2545586bfe8e946b691b70,An Empirical Investigation of Catastrophic Forgeting in Gradient-Based Neural Networks,International Conference on Learning Representations,International Conference on Learning Representations,2013.0,"I. Goodfellow, Mehdi Mirza, Xia Da, Aaron C. Courville, Yoshua Bengio",5.0,1065.0,81.0,19.0,False,"['Computer Science', 'Mathematics']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",1.0,1.0,0.0,100.0,83.0,1.0,Artificial Neuronal Ensembles with Learned Context Dependent Gating6,86.0,86.0,arxiv,ICLR,vanilla_1,1,Artificial Neuronal Ensembles with Learned Context Dependent Gating6vanilla_1
